,0
0,0.06261193752288818
1,0.06587082147598267
2,0.3792928159236908
3,0.4793349504470825
4,0.23986680805683136
5,0.10870139300823212
6,0.47004538774490356
7,0.4076044261455536
8,0.13231351971626282
9,0.26404276490211487
10,0.298156201839447
11,0.038797855377197266
12,0.03842499852180481
13,0.3517553210258484
14,0.2980043590068817
15,0.693356454372406
16,0.5557225942611694
17,0.46467092633247375
18,0.15668322145938873
19,0.15001645684242249
20,0.4349212944507599
21,0.4305272698402405
22,0.15007919073104858
23,0.38580459356307983
24,0.38670310378074646
25,0.040468692779541016
26,0.019620627164840698
27,0.28427568078041077
28,0.3060897886753082
29,0.478587806224823
30,0.4729483425617218
31,0.41782742738723755
32,0.11604228615760803
33,0.11150552332401276
34,0.4513396620750427
35,0.5168483257293701
36,0.5408307313919067
37,0.4983322024345398
38,0.4507269263267517
39,0.1549714207649231
40,0.15891394019126892
41,0.4663369953632355
42,0.46154871582984924
43,0.4826146066188812
44,0.477142333984375
45,0.43781179189682007
46,0.14195919036865234
47,0.1468619406223297
48,0.4990725517272949
49,0.5216460824012756
50,0.5202086567878723
51,0.47217246890068054
52,0.409920334815979
53,0.13164982199668884
54,0.13767826557159424
55,0.4830920696258545
56,0.4836101531982422
57,0.48409146070480347
58,0.4699297249317169
59,0.42333531379699707
60,0.13462400436401367
61,0.13975754380226135
62,0.4921618700027466
63,0.4716651737689972
64,0.47975820302963257
65,0.4613687992095947
66,0.41386696696281433
67,0.13153856992721558
68,0.13659662008285522
69,0.4894564747810364
70,0.47270187735557556
71,0.4841943383216858
72,0.46185505390167236
73,0.4152883291244507
74,0.1316400170326233
75,0.13646677136421204
76,0.49010902643203735
77,0.4735376536846161
78,0.476956307888031
79,0.456270694732666
80,0.408086895942688
81,0.1267428994178772
82,0.13178592920303345
83,0.48263561725616455
84,0.4690249562263489
85,0.4827783405780792
86,0.45667052268981934
87,0.41042882204055786
88,0.12738485634326935
89,0.13205848634243011
90,0.48370692133903503
91,0.4757592976093292
92,0.4898648262023926
93,0.460570752620697
94,0.41307199001312256
95,0.129648357629776
96,0.1343676745891571
97,0.486991286277771
98,0.47514528036117554
99,0.4909780025482178
100,0.4626315236091614
101,0.41480422019958496
102,0.131438747048378
103,0.13639330863952637
104,0.4893232583999634
105,0.4829253852367401
106,0.4971877336502075
107,0.46637681126594543
108,0.4186383783817291
109,0.134548157453537
110,0.13937419652938843
111,0.4936954379081726
112,0.48461687564849854
113,0.49603453278541565
114,0.46806299686431885
115,0.4200393557548523
116,0.1357758790254593
117,0.14084413647651672
118,0.4955027997493744
119,0.4843800663948059
120,0.4907005727291107
121,0.4662691354751587
122,0.4188194274902344
123,0.134565532207489
